Entry	Entry name	Protein names	yourlist:M20180509F725F458AC8690F874DD868E4ED79B88FE4F7BJ
Q96BW9	TAM41_HUMAN	Phosphatidate cytidylyltransferase, mitochondrial (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (Mitochondrial translocator assembly and maintenance protein 41 homolog) (TAM41)	NM_138807
P00491	PNPH_HUMAN	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	NM_000270
Q8TCD5	NT5C_HUMAN	5'(3')-deoxyribonucleotidase, cytosolic type (EC 3.1.3.-) (Cytosolic 5',3'-pyrimidine nucleotidase) (Deoxy-5'-nucleotidase 1) (dNT-1)	NM_014595
Q8IYG6	LRC56_HUMAN	Leucine-rich repeat-containing protein 56	NM_198075
Q09013	DMPK_HUMAN	Myotonin-protein kinase (MT-PK) (EC 2.7.11.1) (DM-kinase) (DMK) (DM1 protein kinase) (DMPK) (Myotonic dystrophy protein kinase)	NM_004409
P17544	ATF7_HUMAN	Cyclic AMP-dependent transcription factor ATF-7 (cAMP-dependent transcription factor ATF-7) (Activating transcription factor 7) (Transcription factor ATF-A)	NM_006856
Q9NPB0	SMDC1_HUMAN	SAYSvFN domain-containing protein 1	NM_018322
O95822	DCMC_HUMAN	Malonyl-CoA decarboxylase, mitochondrial (MCD) (EC 4.1.1.9)	NM_012213
Q8IW52	SLIK4_HUMAN	SLIT and NTRK-like protein 4	NM_173078
Q9Y3C5	RNF11_HUMAN	RING finger protein 11	NM_014372
Q15003	CND2_HUMAN	Condensin complex subunit 2 (Barren homolog protein 1) (Chromosome-associated protein H) (hCAP-H) (Non-SMC condensin I complex subunit H) (XCAP-H homolog)	NM_015341
Q96ME7	ZN512_HUMAN	Zinc finger protein 512	NM_032434
Q53EZ4	CEP55_HUMAN	Centrosomal protein of 55 kDa (Cep55) (Up-regulated in colon cancer 6)	NM_018131
Q7Z2T5	TRM1L_HUMAN	TRMT1-like protein (EC 2.1.1.-)	NM_030934
P81274	GPSM2_HUMAN	G-protein-signaling modulator 2 (Mosaic protein LGN)	NM_013296
Q7LGA3	HS2ST_HUMAN	Heparan sulfate 2-O-sulfotransferase 1 (2-O-sulfotransferase) (2OST) (EC 2.8.2.-)	NM_012262
Q96L34	MARK4_HUMAN	MAP/microtubule affinity-regulating kinase 4 (EC 2.7.11.1) (MAP/microtubule affinity-regulating kinase-like 1)	NM_031417
P48723	HSP13_HUMAN	Heat shock 70 kDa protein 13 (Microsomal stress-70 protein ATPase core) (Stress-70 protein chaperone microsome-associated 60 kDa protein)	NM_006948
O95825	QORL1_HUMAN	Quinone oxidoreductase-like protein 1 (EC 1.-.-.-) (Protein 4P11) (Quinone oxidoreductase homolog 1) (QOH-1) (Zeta-crystallin homolog)	NM_145858
O94826	TOM70_HUMAN	Mitochondrial import receptor subunit TOM70 (Mitochondrial precursor proteins import receptor) (Translocase of outer membrane 70 kDa subunit) (Translocase of outer mitochondrial membrane protein 70)	NM_014820
P78332	RBM6_HUMAN	RNA-binding protein 6 (Lung cancer antigen NY-LU-12) (Protein G16) (RNA-binding motif protein 6) (RNA-binding protein DEF-3)	NM_005777
P42766	RL35_HUMAN	60S ribosomal protein L35 (Large ribosomal subunit protein uL29)	NM_007209
Q9UHB6	LIMA1_HUMAN	LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm)	NM_016357
P26842	CD27_HUMAN	CD27 antigen (CD27L receptor) (T-cell activation antigen CD27) (T14) (Tumor necrosis factor receptor superfamily member 7) (CD antigen CD27)	NM_001242
Q9Y3A4	RRP7A_HUMAN	Ribosomal RNA-processing protein 7 homolog A (Gastric cancer antigen Zg14)	NM_015703
O60784	TOM1_HUMAN	Target of Myb protein 1	NM_005488
Q96F46	I17RA_HUMAN	Interleukin-17 receptor A (IL-17 receptor A) (IL-17RA) (CDw217) (CD antigen CD217)	NM_014339
Q13608	PEX6_HUMAN	Peroxisome assembly factor 2 (PAF-2) (Peroxin-6) (Peroxisomal biogenesis factor 6) (Peroxisomal-type ATPase 1)	NM_000287
Q9H944	MED20_HUMAN	Mediator of RNA polymerase II transcription subunit 20 (Mediator complex subunit 20) (TRF-proximal protein homolog) (hTRFP)	NM_004275
P17302	CXA1_HUMAN	Gap junction alpha-1 protein (Connexin-43) (Cx43) (Gap junction 43 kDa heart protein)	NM_000165
O95777	LSM8_HUMAN	U6 snRNA-associated Sm-like protein LSm8	NM_016200
Q6ZMT1	STAC2_HUMAN	SH3 and cysteine-rich domain-containing protein 2 (24b2/STAC2) (Src homology 3 and cysteine-rich domain-containing protein 2)	NM_198993
P28347	TEAD1_HUMAN	Transcriptional enhancer factor TEF-1 (NTEF-1) (Protein GT-IIC) (TEA domain family member 1) (TEAD-1) (Transcription factor 13) (TCF-13)	NM_021961
P30405	PPIF_HUMAN	Peptidyl-prolyl cis-trans isomerase F, mitochondrial (PPIase F) (EC 5.2.1.8) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Mitochondrial cyclophilin) (CyP-M) (Rotamase F)	NM_005729
P18031	PTN1_HUMAN	Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B)	NM_002827
Q8IXQ6	PARP9_HUMAN	Poly [ADP-ribose] polymerase 9 (PARP-9) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 9) (ARTD9) (B aggressive lymphoma protein)	NM_031458
Q12800	TFCP2_HUMAN	Alpha-globin transcription factor CP2 (SAA3 enhancer factor) (Transcription factor LSF)	NM_005653
Q86W56	PARG_HUMAN	Poly(ADP-ribose) glycohydrolase (EC 3.2.1.143)	NM_003631
Q9BYT1	S17A9_HUMAN	Solute carrier family 17 member 9	NM_022082
Q6PI98	IN80C_HUMAN	INO80 complex subunit C (IES6 homolog) (hIes6)	NM_194281
O95248	MTMR5_HUMAN	Myotubularin-related protein 5 (SET-binding factor 1) (Sbf1)	NM_002972
Q8NE00	TM104_HUMAN	Transmembrane protein 104	NM_017728
Q8TBB1	LNX1_HUMAN	E3 ubiquitin-protein ligase LNX (EC 2.3.2.27) (Ligand of Numb-protein X 1) (Numb-binding protein 1) (PDZ domain-containing RING finger protein 2) (RING-type E3 ubiquitin transferase LNX)	NM_032622
Q9Y666	S12A7_HUMAN	Solute carrier family 12 member 7 (Electroneutral potassium-chloride cotransporter 4) (K-Cl cotransporter 4)	NM_006598
Q9Y5J1	UTP18_HUMAN	U3 small nucleolar RNA-associated protein 18 homolog (WD repeat-containing protein 50)	NM_016001
Q5SVS4	KMCP1_HUMAN	Kidney mitochondrial carrier protein 1 (Solute carrier family 25 member 30)	NM_001010875
Q99575	POP1_HUMAN	Ribonucleases P/MRP protein subunit POP1 (hPOP1) (EC 3.1.26.5)	NM_015029
P11166	GTR1_HUMAN	Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter)	NM_006516
Q8TCB7	METL6_HUMAN	Methyltransferase-like protein 6 (EC 2.1.1.-)	NM_152396
P41236	IPP2_HUMAN	Protein phosphatase inhibitor 2 (IPP-2)	NM_006241
O00461	GOLI4_HUMAN	Golgi integral membrane protein 4 (Golgi integral membrane protein, cis) (GIMPc) (Golgi phosphoprotein 4) (Golgi-localized phosphoprotein of 130 kDa) (Golgi phosphoprotein of 130 kDa)	NM_014498
Q6UB35	C1TM_HUMAN	Monofunctional C1-tetrahydrofolate synthase, mitochondrial (EC 6.3.4.3) (Formyltetrahydrofolate synthetase)	NM_015440
Q9BY43	CHM4A_HUMAN	Charged multivesicular body protein 4a (Chromatin-modifying protein 4a) (CHMP4a) (SNF7 homolog associated with Alix-2) (SNF7-1) (hSnf-1) (Vacuolar protein sorting-associated protein 32-1) (Vps32-1) (hVps32-1)	NM_014169
P49356	FNTB_HUMAN	Protein farnesyltransferase subunit beta (FTase-beta) (EC 2.5.1.58) (CAAX farnesyltransferase subunit beta) (Ras proteins prenyltransferase subunit beta)	NM_002028
Q8TD30	ALAT2_HUMAN	Alanine aminotransferase 2 (ALT2) (EC 2.6.1.2) (Glutamate pyruvate transaminase 2) (GPT 2) (Glutamic--alanine transaminase 2) (Glutamic--pyruvic transaminase 2)	NM_133443
Q9NZC9	SMAL1_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 (EC 3.6.4.-) (HepA-related protein) (hHARP) (Sucrose nonfermenting protein 2-like 1)	NM_014140
Q99985	SEM3C_HUMAN	Semaphorin-3C (Semaphorin-E) (Sema E)	NM_006379
Q13190	STX5_HUMAN	Syntaxin-5	NM_003164
Q5JVF3	PCID2_HUMAN	PCI domain-containing protein 2 (CSN12-like protein)	NM_018386
P54646	AAPK2_HUMAN	5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)	NM_006252
Q9P0U4	CXXC1_HUMAN	CXXC-type zinc finger protein 1 (CpG-binding protein) (PHD finger and CXXC domain-containing protein 1)	NM_014593
P61020	RAB5B_HUMAN	Ras-related protein Rab-5B	NM_002868
P15260	INGR1_HUMAN	Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119)	NM_000416
Q6PID8	KLD10_HUMAN	Kelch domain-containing protein 10	NM_014997
O76021	RL1D1_HUMAN	Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)	NM_015659
O14771	ZN213_HUMAN	Zinc finger protein 213 (Putative transcription factor CR53) (Zinc finger protein with KRAB and SCAN domains 21)	NM_004220
Q96GD4	AURKB_HUMAN	Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B)	NM_004217
Q8NBN3	TM87A_HUMAN	Transmembrane protein 87A	NM_015497
O15327	INP4B_HUMAN	Type II inositol 3,4-bisphosphate 4-phosphatase (EC 3.1.3.66) (Inositol polyphosphate 4-phosphatase type II)	NM_003866
O00488	ZN593_HUMAN	Zinc finger protein 593 (Zinc finger protein T86)	NM_015871
P28221	5HT1D_HUMAN	5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin 1D alpha receptor) (5-HT-1D-alpha) (Serotonin receptor 1D)	NM_000864
P98066	TSG6_HUMAN	Tumor necrosis factor-inducible gene 6 protein (Hyaluronate-binding protein) (TNF-stimulated gene 6 protein) (TSG-6) (Tumor necrosis factor alpha-induced protein 6) (TNF alpha-induced protein 6)	NM_007115
Q9Y421	FA32A_HUMAN	Protein FAM32A (Ovarian tumor-associated gene 12) (OTAG-12)	NM_014077
O75808	CAN15_HUMAN	Calpain-15 (EC 3.4.22.-) (Small optic lobes homolog)	NM_005632
Q8WVX9	FACR1_HUMAN	Fatty acyl-CoA reductase 1 (EC 1.2.1.84) (Male sterility domain-containing protein 2)	NM_032228
Q9H2J4	PDCL3_HUMAN	Phosducin-like protein 3 (HTPHLP) (PhPL3) (Viral IAP-associated factor 1) (VIAF-1)	NM_024065
Q13542	4EBP2_HUMAN	Eukaryotic translation initiation factor 4E-binding protein 2 (4E-BP2) (eIF4E-binding protein 2)	NM_004096
Q9BQ39	DDX50_HUMAN	ATP-dependent RNA helicase DDX50 (EC 3.6.4.13) (DEAD box protein 50) (Gu-beta) (Nucleolar protein Gu2)	NM_024045
A5PLL7	TM189_HUMAN	Transmembrane protein 189	NM_199129
Q9BSH4	TACO1_HUMAN	Translational activator of cytochrome c oxidase 1 (Coiled-coil domain-containing protein 44) (Translational activator of mitochondrially-encoded cytochrome c oxidase I)	NM_016360
P10588	NR2F6_HUMAN	Nuclear receptor subfamily 2 group F member 6 (V-erbA-related protein 2) (EAR-2)	NM_005234
Q9UKT8	FBXW2_HUMAN	F-box/WD repeat-containing protein 2 (F-box and WD-40 domain-containing protein 2) (Protein MD6)	NM_012164
Q99590	SCAFB_HUMAN	Protein SCAF11 (CTD-associated SR protein 11) (Renal carcinoma antigen NY-REN-40) (SC35-interacting protein 1) (SR-related and CTD-associated factor 11) (SRSF2-interacting protein) (Serine/arginine-rich splicing factor 2-interacting protein) (Splicing factor, arginine/serine-rich 2-interacting protein) (Splicing regulatory protein 129) (SRrp129)	NM_004719
Q9H2S9	IKZF4_HUMAN	Zinc finger protein Eos (Ikaros family zinc finger protein 4)	NM_022465
Q9Y6A4	CFA20_HUMAN	Cilia- and flagella-associated protein 20 (Basal body up-regulated protein 22) (Transcription factor IIB)	NM_013242
Q9NS84	CHST7_HUMAN	Carbohydrate sulfotransferase 7 (EC 2.8.2.-) (EC 2.8.2.17) (Chondroitin 6-sulfotransferase 2) (C6ST-2) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 5) (GST-5) (N-acetylglucosamine 6-O-sulfotransferase 4) (GlcNAc6ST-4) (Gn6st-4)	NM_019886
O95391	SLU7_HUMAN	Pre-mRNA-splicing factor SLU7 (hSlu7)	NM_006425
Q96BD0	SO4A1_HUMAN	Solute carrier organic anion transporter family member 4A1 (OATP4A1) (Colon organic anion transporter) (Organic anion transporter polypeptide-related protein 1) (OATP-RP1) (OATPRP1) (POAT) (Organic anion-transporting polypeptide E) (OATP-E) (Sodium-independent organic anion transporter E) (Solute carrier family 21 member 12)	NM_016354
Q08357	S20A2_HUMAN	Sodium-dependent phosphate transporter 2 (Gibbon ape leukemia virus receptor 2) (GLVR-2) (Phosphate transporter 2) (PiT-2) (Pit2) (hPit2) (Solute carrier family 20 member 2)	NM_006749
Q9NZM5	NOP53_HUMAN	Ribosome biogenesis protein NOP53 (Glioma tumor suppressor candidate region gene 2 protein) (Protein interacting with carboxyl terminus 1) (PICT-1) (p60)	NM_015710
Q9UJJ7	RUSD1_HUMAN	RNA pseudouridylate synthase domain-containing protein 1 (Ribosomal large subunit pseudouridine synthase C-like protein)	NM_058192
P40818	UBP8_HUMAN	Ubiquitin carboxyl-terminal hydrolase 8 (EC 3.4.19.12) (Deubiquitinating enzyme 8) (Ubiquitin isopeptidase Y) (hUBPy) (Ubiquitin thioesterase 8) (Ubiquitin-specific-processing protease 8)	NM_005154
Q96CW5	GCP3_HUMAN	Gamma-tubulin complex component 3 (GCP-3) (hGCP3) (Gamma-ring complex protein 104 kDa) (h104p) (hGrip104) (Spindle pole body protein Spc98 homolog) (hSpc98)	NM_006322
O60291	MGRN1_HUMAN	E3 ubiquitin-protein ligase MGRN1 (EC 2.3.2.27) (Mahogunin RING finger protein 1) (RING finger protein 156) (RING-type E3 ubiquitin transferase MGRN1)	NM_015246
Q9NWU2	GID8_HUMAN	Glucose-induced degradation protein 8 homolog (Two hybrid-associated protein 1 with RanBPM) (Twa1)	NM_017896
P15151	PVR_HUMAN	Poliovirus receptor (Nectin-like protein 5) (NECL-5) (CD antigen CD155)	NM_006505
O75031	HSF2B_HUMAN	Heat shock factor 2-binding protein	NM_007031
Q9GZS1	RPA49_HUMAN	DNA-directed RNA polymerase I subunit RPA49 (RNA polymerase I subunit A49) (DNA-directed RNA polymerase I subunit E) (RNA polymerase I-associated factor 1) (RNA polymerase I-associated factor 53)	NM_022490
P78318	IGBP1_HUMAN	Immunoglobulin-binding protein 1 (B-cell signal transduction molecule alpha 4) (Protein alpha-4) (CD79a-binding protein 1) (Protein phosphatase 2/4/6 regulatory subunit) (Renal carcinoma antigen NY-REN-16)	NM_001551
Q9BXB4	OSB11_HUMAN	Oxysterol-binding protein-related protein 11 (ORP-11) (OSBP-related protein 11)	NM_022776
Q9Y534	CSDC2_HUMAN	Cold shock domain-containing protein C2 (RNA-binding protein PIPPin)	NM_014460
Q8N543	OGFD1_HUMAN	Prolyl 3-hydroxylase OGFOD1 (EC 1.14.11.-) (2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1) (Termination and polyadenylation 1 homolog) (uS12 prolyl 3-hydroxylase)	NM_018233
P22059	OSBP1_HUMAN	Oxysterol-binding protein 1	NM_002556
Q8WU79	SMAP2_HUMAN	Stromal membrane-associated protein 2 (Stromal membrane-associated protein 1-like)	NM_022733
O75145	LIPA3_HUMAN	Liprin-alpha-3 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-3) (PTPRF-interacting protein alpha-3)	NM_003660
Q5MIZ7	P4R3B_HUMAN	Serine/threonine-protein phosphatase 4 regulatory subunit 3B (SMEK homolog 2)	NM_020463
P52701	MSH6_HUMAN	DNA mismatch repair protein Msh6 (hMSH6) (G/T mismatch-binding protein) (GTBP) (GTMBP) (MutS protein homolog 6) (MutS-alpha 160 kDa subunit) (p160)	NM_000179
Q9H2K2	TNKS2_HUMAN	Tankyrase-2 (TANK2) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 6) (ARTD6) (Poly [ADP-ribose] polymerase 5B) (TNKS-2) (TRF1-interacting ankyrin-related ADP-ribose polymerase 2) (Tankyrase II) (Tankyrase-like protein) (Tankyrase-related protein)	NM_025235
Q8N4L2	PP4P2_HUMAN	Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 2 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase II) (Transmembrane protein 55A)	NM_018710
P11182	ODB2_HUMAN	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial (EC 2.3.1.168) (52 kDa mitochondrial autoantigen of primary biliary cirrhosis) (Branched chain 2-oxo-acid dehydrogenase complex component E2) (BCOADC-E2) (Branched-chain alpha-keto acid dehydrogenase complex component E2) (BCKAD-E2) (BCKADE2) (Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex) (Dihydrolipoamide branched chain transacylase) (Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase)	NM_001918
Q4VC31	CCD58_HUMAN	Coiled-coil domain-containing protein 58	NM_001017928
Q9NRW1	RAB6B_HUMAN	Ras-related protein Rab-6B	NM_016577
P32241	VIPR1_HUMAN	Vasoactive intestinal polypeptide receptor 1 (VIP-R-1) (Pituitary adenylate cyclase-activating polypeptide type II receptor) (PACAP type II receptor) (PACAP-R-2) (PACAP-R2) (VPAC1)	NM_004624
Q7RTV5	AAED1_HUMAN	Thioredoxin-like protein AAED1 (AhpC/TSA antioxidant enzyme domain-containing protein 1)	NM_153698
Q92781	RDH1_HUMAN	11-cis retinol dehydrogenase (11-cis RDH) (11-cis RoDH) (EC 1.1.1.315) (9-cis retinol dehydrogenase) (9cRDH) (Retinol dehydrogenase 5) (Short chain dehydrogenase/reductase family 9C member 5)	NM_002905
Q9UH36	SRR1L_HUMAN	SRR1-like protein (SRR1 domain-containing protein)	NM_001013694
Q96PZ0	PUS7_HUMAN	Pseudouridylate synthase 7 homolog (EC 5.4.99.-)	NM_019042
Q96FM1	PGAP3_HUMAN	Post-GPI attachment to proteins factor 3 (COS16 homolog) (hCOS16) (Gene coamplified with ERBB2 protein) (PER1-like domain-containing protein 1)	NM_033419
Q9HA64	KT3K_HUMAN	Ketosamine-3-kinase (EC 2.7.1.-) (Fructosamine-3-kinase-related protein) (FN3K-RP) (FN3K-related protein)	NM_024619
P26196	DDX6_HUMAN	Probable ATP-dependent RNA helicase DDX6 (EC 3.6.4.13) (ATP-dependent RNA helicase p54) (DEAD box protein 6) (Oncogene RCK)	NM_004397
Q9P0N5	TM216_HUMAN	Transmembrane protein 216	NM_016499
P61201	CSN2_HUMAN	COP9 signalosome complex subunit 2 (SGN2) (Signalosome subunit 2) (Alien homolog) (JAB1-containing signalosome subunit 2) (Thyroid receptor-interacting protein 15) (TR-interacting protein 15) (TRIP-15)	NM_004236
O15072	ATS3_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 3 (ADAM-TS 3) (ADAM-TS3) (ADAMTS-3) (EC 3.4.24.-) (Procollagen II N-proteinase) (PC II-NP) (Procollagen II amino propeptide-processing enzyme)	NM_014243
Q8N442	GUF1_HUMAN	Translation factor GUF1, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1) (Ribosomal back-translocase)	NM_021927
Q9BS91	S35A5_HUMAN	Probable UDP-sugar transporter protein SLC35A5 (Solute carrier family 35 member A5)	NM_017945
Q8NCF5	NF2IP_HUMAN	NFATC2-interacting protein (45 kDa NF-AT-interacting protein) (45 kDa NFAT-interacting protein) (Nuclear factor of activated T-cells, cytoplasmic 2-interacting protein)	NM_032815
Q9UBU6	FA8A1_HUMAN	Protein FAM8A1 (Autosomal highly conserved protein)	NM_016255
Q8IUH2	CREG2_HUMAN	Protein CREG2	NM_153836
Q96PE1	AGRA2_HUMAN	Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5)	NM_032777
Q96JA1	LRIG1_HUMAN	Leucine-rich repeats and immunoglobulin-like domains protein 1 (LIG-1)	NM_015541
Q9BUE6	ISCA1_HUMAN	Iron-sulfur cluster assembly 1 homolog, mitochondrial (HESB-like domain-containing protein 2) (Iron-sulfur assembly protein IscA) (hIscA)	NM_030940
Q86YR5	GPSM1_HUMAN	G-protein-signaling modulator 1 (Activator of G-protein signaling 3)	NM_015597
Q16526	CRY1_HUMAN	Cryptochrome-1	NM_004075
P53667	LIMK1_HUMAN	LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1)	NM_002314
P32780	TF2H1_HUMAN	General transcription factor IIH subunit 1 (Basic transcription factor 2 62 kDa subunit) (BTF2 p62) (General transcription factor IIH polypeptide 1) (TFIIH basal transcription factor complex p62 subunit)	NM_005316
Q9H6Y2	WDR55_HUMAN	WD repeat-containing protein 55	NM_017706
Q9NUQ9	FA49B_HUMAN	Protein FAM49B (L1)	NM_016623
P49281	NRAM2_HUMAN	Natural resistance-associated macrophage protein 2 (NRAMP 2) (Divalent cation transporter 1) (Divalent metal transporter 1) (DMT-1) (Solute carrier family 11 member 2)	NM_000617
Q8N128	F177A_HUMAN	Protein FAM177A1	NM_173607
Q9NYV6	RRN3_HUMAN	RNA polymerase I-specific transcription initiation factor RRN3 (Transcription initiation factor IA) (TIF-IA)	NM_018427
Q9BQD7	F173A_HUMAN	Protein FAM173A	NM_023933
Q66K64	DCA15_HUMAN	DDB1- and CUL4-associated factor 15	NM_138353
Q9BV87	CNPD1_HUMAN	Protein CNPPD1 (Cyclin Pas1/PHO80 domain-containing protein 1)	NM_015680
Q92600	CNOT9_HUMAN	CCR4-NOT transcription complex subunit 9 (Cell differentiation protein RQCD1 homolog) (Rcd-1)	NM_005444
O15116	LSM1_HUMAN	U6 snRNA-associated Sm-like protein LSm1 (Cancer-associated Sm-like) (Small nuclear ribonuclear CaSm)	NM_014462
Q6ZPD9	D19L3_HUMAN	Probable C-mannosyltransferase DPY19L3 (EC 2.4.1.-) (Dpy-19-like protein 3) (Protein dpy-19 homolog 3)	NM_207325
Q9NVG8	TBC13_HUMAN	TBC1 domain family member 13	NM_018201
Q9Y4C2	TCAF1_HUMAN	TRPM8 channel-associated factor 1 (TRP channel-associated factor 1)	NM_014719
P31321	KAP1_HUMAN	cAMP-dependent protein kinase type I-beta regulatory subunit	NM_002735
Q05209	PTN12_HUMAN	Tyrosine-protein phosphatase non-receptor type 12 (EC 3.1.3.48) (PTP-PEST) (Protein-tyrosine phosphatase G1) (PTPG1)	NM_002835
O75880	SCO1_HUMAN	Protein SCO1 homolog, mitochondrial	NM_004589
Q96SB3	NEB2_HUMAN	Neurabin-2 (Neurabin-II) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin)	NM_032595
Q8IWX8	CHERP_HUMAN	Calcium homeostasis endoplasmic reticulum protein (ERPROT 213-21) (SR-related CTD-associated factor 6)	NM_006387
Q99570	PI3R4_HUMAN	Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein)	NM_014602
Q86X83	COMD2_HUMAN	COMM domain-containing protein 2	NM_016094
Q8NE62	CHDH_HUMAN	Choline dehydrogenase, mitochondrial (CDH) (CHD) (EC 1.1.99.1)	NM_018397
Q02086	SP2_HUMAN	Transcription factor Sp2	NM_003110
P27708	PYR1_HUMAN	CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]	NM_004341
O15229	KMO_HUMAN	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Kynurenine 3-hydroxylase)	NM_003679
Q9GZU3	TM39B_HUMAN	Transmembrane protein 39B	NM_018056
O95274	LYPD3_HUMAN	Ly6/PLAUR domain-containing protein 3 (GPI-anchored metastasis-associated protein C4.4A homolog) (Matrigel-induced gene C4 protein) (MIG-C4)	NM_014400
Q8N1G2	CMTR1_HUMAN	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 (EC 2.1.1.57) (Cap methyltransferase 1) (Cap1 2'O-ribose methyltransferase 1) (MTr1) (hMTr1) (FtsJ methyltransferase domain-containing protein 2) (Interferon-stimulated gene 95 kDa protein) (ISG95)	NM_015050
Q7Z403	TMC6_HUMAN	Transmembrane channel-like protein 6 (Epidermodysplasia verruciformis protein 1) (Protein LAK-4)	NM_007267
Q9C0B5	ZDHC5_HUMAN	Palmitoyltransferase ZDHHC5 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 5) (DHHC-5) (Zinc finger protein 375)	NM_015457
Q8IYQ7	THNS1_HUMAN	Threonine synthase-like 1 (TSH1)	NM_024838
Q9BRG2	SH23A_HUMAN	SH2 domain-containing protein 3A (Novel SH2-containing protein 1)	NM_005490
Q6P1K1	HRG1_HUMAN	Heme transporter HRG1 (Heme-responsive gene 1 protein homolog) (HRG-1) (hHRG-1) (Solute carrier family 48 member 1)	NM_017842
P30519	HMOX2_HUMAN	Heme oxygenase 2 (HO-2) (EC 1.14.14.18)	NM_002134
Q8IWB9	TEX2_HUMAN	Testis-expressed protein 2 (Transmembrane protein 96)	NM_018469
Q5QJ74	TBCEL_HUMAN	Tubulin-specific chaperone cofactor E-like protein (EL) (Leucine-rich repeat-containing protein 35)	NM_152715
Q8TCU4	ALMS1_HUMAN	Alstrom syndrome protein 1	NM_015120
P0CK97	S35E2_HUMAN	Solute carrier family 35 member E2	NM_182838
Q9BRV8	SIKE1_HUMAN	Suppressor of IKBKE 1 (Suppressor of IKK-epsilon)	NM_025073
O95544	NADK_HUMAN	NAD kinase (EC 2.7.1.23) (Poly(P)/ATP NAD kinase)	NM_023018
Q14938	NFIX_HUMAN	Nuclear factor 1 X-type (NF1-X) (Nuclear factor 1/X) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/X) (NF-I/X) (NFI-X) (TGGCA-binding protein)	NM_002501
Q96E22	NGBR_HUMAN	Dehydrodolichyl diphosphate synthase complex subunit NUS1 (EC 2.5.1.87) (Di-trans,poly-cis-decaprenylcistransferase) (Nogo-B receptor) (NgBR) (Nuclear undecaprenyl pyrophosphate synthase 1 homolog)	NM_138459
Q96QU8	XPO6_HUMAN	Exportin-6 (Exp6) (Ran-binding protein 20)	NM_015171
Q8NBR0	P5I13_HUMAN	Tumor protein p53-inducible protein 13 (Damage-stimulated cytoplasmic protein 1)	NM_138349
